,id,range,Battery Level (%),Latitude (°),Longitude (°),speed,Maintenance Cost ($),Charging Cost ($),Pin Code,Working Condition,Charging Status,Energy Consumed (kWh),Fast Charge Speed (kW),status,Date,dvr,Make,mgr,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,km
0,4,199.2,43,24.133183,74.192878,84,190,16,930882,1,0,24.9,100,0,2023-05-26,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,84267.0
1,4,199.2,43,24.133183,74.192878,84,190,16,930882,1,0,24.9,100,0,2023-05-26,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,77279.0
2,4,48.216,18,14.874813,94.513065,90,192,11,593157,1,1,6.027,127,1,2023-12-18,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,30793.0
3,4,48.216,18,14.874813,94.513065,90,192,11,593157,1,1,6.027,127,1,2023-12-18,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,26956.0
4,4,216.80399999999997,46,23.473234,89.530714,59,183,8,292617,0,0,27.100499999999997,84,0,2023-08-17,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,88146.0
5,4,216.80399999999997,46,23.473234,89.530714,59,183,8,292617,0,0,27.100499999999997,84,0,2023-08-17,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,89568.0
6,4,117.336,31,28.447342,74.567215,105,282,35,308198,1,1,14.667,96,1,2023-10-18,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,56053.0
7,4,117.336,31,28.447342,74.567215,105,282,35,308198,1,1,14.667,96,1,2023-10-18,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,52128.0
8,4,96.09599999999999,28,26.727195,78.494598,93,242,15,672995,1,0,12.011999999999999,91,0,2023-06-21,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,48480.0
9,4,96.09599999999999,28,26.727195,78.494598,93,242,15,672995,1,0,12.011999999999999,91,0,2023-06-21,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,51508.0
10,4,302.61,88,9.398104,82.143724,120,198,24,566090,1,1,60.522,100,0,2023-03-16,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,170835.0
11,4,302.61,88,9.398104,82.143724,120,198,24,566090,1,1,60.522,100,0,2023-03-16,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,175464.0
12,4,230.1225,72,31.874139,68.339239,64,125,19,362445,1,0,46.024499999999996,70,1,2023-08-18,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,138151.0
13,4,230.1225,72,31.874139,68.339239,64,125,19,362445,1,0,46.024499999999996,70,1,2023-08-18,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,141821.0
14,4,190.1325,61,25.179422,79.552451,113,125,15,531712,1,0,38.0265,50,1,2023-02-09,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,114115.0
15,4,190.1325,61,25.179422,79.552451,113,125,15,531712,1,0,38.0265,50,1,2023-02-09,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,115973.0
16,4,190.93200000000002,41,14.546345,83.128835,60,259,9,255595,1,0,23.866500000000002,88,0,2023-07-09,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,77021.0
17,4,190.93200000000002,41,14.546345,83.128835,60,259,9,255595,1,0,23.866500000000002,88,0,2023-07-09,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,79091.0
18,4,271.185,82,20.437213,87.749788,60,202,34,409377,1,0,54.236999999999995,79,1,2023-11-07,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5,156226.0
